modified_names,gbm39_cloneB_Score,gbm39_cloneB_pval,gbm45_cloneA_Score,gbm45_cloneA_pval,av
ARI5A,1.5398932715720763,5.195514029191521e-05,1.6026008112622288,3.949732801132026e-06,1.5712470414171524
TEAD,1.3838185480772214,3.7557110561968585e-97,1.2664049695545367,2.358104174804279e-39,1.3251117588158792
MBD2,1.212023572499514,9.46284298842582e-30,1.2803309583501692,2.1930187382160425e-34,1.2461772654248415
RUNX,1.3220271234555354,6.195763969642883e-120,1.1001115876931893,3.4959444228345685e-10,1.2110693555743623
HSF,1.1027451639448766,0.009463708932262435,1.31281990481294,2.3497966150357566e-24,1.2077825343789084
CUX,1.0595063711815125,1.0,1.3241435746097494,2.8134409179931885e-24,1.191824972895631
EBF1,1.0979962780806554,1.6068477121705176e-08,1.2738001493396507,2.0373179599027607e-62,1.185898213710153
ZFX,1.1703440440793385,4.231500513198374e-89,1.1989385870867575,7.582565036903912e-97,1.184641315583048
KAISO,0.9801825012429023,1.0,1.3600363590565385,7.463275953187447e-18,1.1701094301497204
P53-like,1.1129452623910372,2.280085958067214e-12,1.2101350918086404,2.3695995329330727e-40,1.1615401770998388
GFI,1.195790863408496,1.977980222899538e-15,1.10130204580883,0.0015645051878159573,1.148546454608663
EGR,1.0918174375161134,1.0333867966033856e-15,1.203207304123859,8.059087787516932e-49,1.1475123708199861
CREB3/XBP1,1.0250573847221032,1.0,1.255917957756257,1.0998146449353732e-22,1.14048767123918
PLAG1,1.0914836188294303,1.071762252405083e-06,1.188516431716848,1.0837470304714397e-25,1.1400000252731393
SMARCA,1.054484159994152,0.017418080608050487,1.2206370820020012,1.888557004184222e-49,1.1375606209980766
SREBF1,1.0757420675797298,1.5342321489158938e-09,1.196449376696367,1.2080618710356247e-50,1.1360957221380485
MECP2,1.0788558814206564,0.009152503495581325,1.1891144092098085,1.1028200218368892e-12,1.1339851453152323
TFAP2,1.0997062719475317,8.758539272865806e-46,1.161870271702752,5.289536735332588e-100,1.1307882718251419
PAX,1.0563888871132272,4.12158008145055e-07,1.2045864861684223,1.893861192644908e-71,1.1304876866408247
GC-tract,1.0711932017900259,1.9921689385118527e-114,1.1884114890048811,0.0,1.1298023453974535
HINFP1,1.1125337944668399,1.0248763696579922e-05,1.1449461543934094,3.308955261324766e-05,1.1287399744301245
KLF/SP,1.0594373015828722,1.734126224173649e-120,1.1957591007487052,0.0,1.1275982011657888
GMEB2,1.074591679468605,0.8049387708712691,1.179189760606169,0.00018683949768295177,1.126890720037387
E2F,1.0619852972283947,6.061483745785805e-21,1.1882378346669034,1.5431101830877918e-139,1.1251115659476492
CCAAT/CEBP,1.1051936508336937,7.469812380637868e-05,1.1434470747488947,3.428214994250242e-07,1.1243203627912943
AIRE,1.044700744805764,1.0,1.1965153594004798,0.02864277073543057,1.1206080521031219
CREB/ATF,1.1036210761008094,1.2268466109078272e-18,1.1325550816058179,9.01703536321567e-17,1.1180880788533136
TFCP2,1.0063515646512151,1.0,1.2265006170964565,3.297193453504268e-30,1.1164260908738357
THAP1,1.0432728672446263,1.0,1.1839610013921615,4.345512765459433e-19,1.113616934318394
RBPJ,0.9986479530992598,1.0,1.2106094893534292,1.1812240017431505e-51,1.1046287212263444
BCL6,1.0604299697014705,0.40535424445560614,1.1487739362031921,2.637608034693879e-09,1.1046019529523314
GLI,1.0623961748217807,1.4105226733972407e-05,1.1418306935896316,2.3974213708781285e-25,1.1021134342057062
CTCF,1.0168659423494468,1.0,1.1861054226595686,4.8685144443281203e-119,1.1014856825045078
STAT,1.0346485201392808,0.38171412511107244,1.1650946380983427,5.3447426154347133e-36,1.0998715791188118
NFAT,1.0115808676560625,1.0,1.187159560322353,1.734922126792896e-37,1.0993702139892076
EWSR1/FLI1,1.2795684758026682,4.0682039316443385e-10,0.9119588281033778,1.0,1.095763651953023
MZF1,0.9799242157905621,1.0,1.2097617491243926,1.0870421050351805e-52,1.0948429824574775
NR,1.051676847999788,7.738394591845412e-47,1.1285235920969272,1.921870439131287e-257,1.0901002200483576
ZFN121,1.0113565634877288,1.0,1.165825230039594,8.889865734955715e-18,1.0885908967636615
POU,0.9965837964521275,1.0,1.1804453627712035,7.005115701751395e-34,1.0885145796116655
