modified_names,gbm39_cloneA_Score,gbm39_cloneA_pval,gbm45_cloneB_Score,gbm45_cloneB_pval,av
Ebox/CAGCTG,1.3309606231365587,1.6049944083616078e-292,1.4554879882752731,0.0,1.393224305705916
Ebox/CACCTG,1.2564710860641628,6.075182754553702e-129,1.4177412481564362,7.24416856750656e-256,1.3371061671102995
OSR2,1.2319715644053522,1.6899874427871983e-40,1.275535638419993,4.617187870514287e-49,1.2537536014126727
Ebox/CAGATGG,1.2250332243171562,8.310585150722176e-125,1.262522757739922,4.329069934288972e-153,1.2437779910285391
HEN1,1.134996413673009,7.08956451319052e-17,1.2845882969562803,1.3277285741594357e-50,1.2097923553146446
MYB,1.2173989589915397,3.091999536639765e-30,1.1362425121912985,5.208447018881805e-13,1.176820735591419
TATA,1.2224130528123658,0.0005840210849544571,1.0843900046281487,1.0,1.1534015287202573
OCT4+SOX2,1.2062284423744098,7.2853430865654e-15,1.052521166590605,1.0,1.1293748044825074
SPZ1,1.1555207144812538,0.006205597926066195,1.1025791966872738,0.6900088578328075,1.129049955584264
TCF/LEF,1.1141538723954565,0.0006016189608988514,1.1292577886224051,5.965884288289001e-05,1.121705830508931
Ebox/CATATG,1.0795809044146423,0.22713383790696204,1.162783233924856,4.6671812913492055e-08,1.1211820691697492
LEF1,1.1510897124512944,7.678059730051011e-19,1.0814000803145238,4.163177956941796e-05,1.1162448963829092
FEZF1,1.227109516796187,3.093336043755531e-13,0.9877944386009981,1.0,1.1074519776985925
SOX,1.1643131214827955,8.797216059825223e-67,1.0483892230659948,4.473225270070884e-06,1.1063511722743953
MIES,1.1488848587564369,2.0820454682693268e-13,1.0185391267065722,1.0,1.0837119927315046
NFI,1.148470834583545,8.54319874711479e-114,0.9864277338192537,1.0,1.0674492842013994
GATA,0.9472345869367452,1.0,1.1518191275114602,1.624162173967319e-05,1.0495268572241028
IRF,1.1646776225070108,1.7139855786391888e-90,0.9124258419536622,3.081869706475911e-29,1.0385517322303364
GCM,1.0732635153624035,0.03460514656621993,0.9950050346553597,1.0,1.0341342750088816
NFAC,1.0686845373179712,0.007666503463427166,0.9933843490626255,1.0,1.0310344431902982
SMAD,1.048968154065595,2.445871043353061e-06,0.9390817488562118,3.3957260459160634e-12,0.9940249514609034
ZNF,1.0590811785176295,1.1636728739929363e-87,0.9055599816908187,4.0638295752157567e-246,0.9823205801042241
HAND1,1.0422640072275198,1.0,0.9118178178738173,4.306537148893333e-07,0.9770409125506685
GRHL,1.1138557158638511,0.0001959191731033474,0.8384927808972942,8.633455191721369e-16,0.9761742483805727
FOX,1.0523805354860758,5.1123428246479927e-11,0.8991311324427836,1.476625742781762e-50,0.9757558339644297
REST/NRSF,1.0563882844380186,0.06292577579928522,0.8939486140709709,2.148961688947081e-10,0.9751684492544948
ARI5B,1.164510771180304,0.25119225999721395,0.7837269108493223,1.5641042962986435e-05,0.9741188410148132
YY1,1.0393439660036918,1.0,0.9068207176270193,8.286729382693162e-06,0.9730823418153556
ZBTB,1.0034234611666244,1.0,0.9374378902778514,6.495355901481745e-09,0.9704306757222378
TBX,1.0216478322776392,0.9920015881174978,0.910380575463275,1.2868613468410331e-27,0.9660142038704571
PRDM,1.0105874017963814,1.0,0.9185707461759772,2.2146354533888395e-26,0.9645790739861793
GLIS,1.0211675414673627,1.0,0.8992162447581751,2.2600005501603925e-06,0.9601918931127689
MTF1,1.0158574929641948,1.0,0.892783929373036,0.00604875274504322,0.9543207111686154
INSM1,0.997770871682962,1.0,0.9074265845075333,3.408836676893987e-08,0.9525987280952477
NRF1,0.9395472215709927,5.3746667496027156e-06,0.960976655009953,0.6178857441867789,0.9502619382904729
NFY,1.061946392011581,0.2577852700559564,0.8377823929848851,2.4234936018445186e-20,0.9498643924982331
ZKSCAN1,1.04843681870083,1.0,0.8509603686757905,1.1221092699634004e-08,0.9496985936883102
SPDEF,1.0371808771600413,1.0,0.8583407776377884,1.963987342015649e-06,0.9477608273989149
HIC,1.0264495894996928,1.0,0.867147331759223,1.7708804484640772e-40,0.9467984606294579
HD,1.0285943663258614,1.3903815106598446e-05,0.8641106001234716,1.299610326491021e-171,0.9463524832246666
Ebox/CACGTG,0.976737652700976,0.13779196620670522,0.9138615817501544,1.0761251786489824e-30,0.9452996172255652
BATF,1.0057323924184367,1.0,0.8816551442797166,0.00015696467030326582,0.9436937683490767
AHR,1.0082924989791597,1.0,0.8771116966352595,0.04086470814291334,0.9427020978072096
AP1,0.971329576088888,0.0015619240226908762,0.9127229172840988,2.395024342499426e-15,0.9420262466864935
MFZ1,1.0390188883699312,1.0,0.8444067314644234,7.615036703258878e-15,0.9417128099171772
SPI,1.0067332690144617,1.0,0.8763117799888592,1.21548290185676e-18,0.9415225245016605
